timestamp,src_ip,dst_ip,service,status,sospechoso,user_agent,bytes,user,hour,is_internet,anomaly,score
2025-11-20T20:22:42.611612,10.50.240,10.50.69,ssh,success,no,Mozilla/5.0 (Windows NT 10.0; Win64; x64),670,,20,False,0,0.047224212518176434
2025-11-21T07:21:46.638791,10.50.217,10.50.83,https,success,no,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5686,,7,False,0,0.10066280596750932
2025-11-21T16:05:39.572753,10.50.224,192.168.100.152,http,success,no,curl/7.68.0,3582,,16,False,0,0.1054934501983214
2025-11-20T17:04:37.922284,192.168.100.148,192.168.100.233,ftp,success,no,Mozilla/5.0 (Windows NT 10.0; Win64; x64),7668,,17,False,0,0.05015144874940236
2025-11-21T01:48:57.974914,187.141.100.10,192.168.100.202,http,failed,si,Go-http-client/1.1,180,,1,True,1,-0.12044476811857119
2025-11-21T02:48:16.933828,192.168.100.78,192.168.100.244,https,success,no,Mozilla/5.0 (Windows NT 10.0; Win64; x64),3000,,2,False,0,0.0789562602652869
2025-11-21T15:17:31.679078,10.50.88,10.50.182,https,success,no,curl/7.68.0,1911,,15,False,0,0.09228968509061564
2025-11-21T16:22:26.453293,192.168.100.141,10.50.168,ssh,success,no,curl/7.68.0,879,,16,False,0,0.062204132890023134
2025-11-20T18:26:51.273568,192.168.100.90,192.168.100.26,http,success,no,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5325,,18,False,0,0.09508681978860606
2025-11-20T23:27:14.554983,10.50.226,10.50.13,http,success,no,Mozilla/5.0 (Windows NT 10.0; Win64; x64),3380,,23,False,0,0.05513143431921319
2025-11-21T06:51:04.943735,192.168.100.222,10.50.137,http,success,no,curl/7.68.0,6651,,6,False,0,0.08812212520236062
2025-11-21T00:45:04.463773,10.50.235,10.50.106,ftp,success,no,curl/7.68.0,6857,,0,False,0,0.032339688995171256
2025-11-20T23:17:52.345946,10.50.36,10.50.71,https,success,no,curl/7.68.0,7372,,23,False,0,0.018794822906927577
2025-11-20T23:11:20.413393,192.168.100.141,192.168.100.32,ssh,success,no,curl/7.68.0,5656,,23,False,0,0.050431312936336736
2025-11-21T05:34:59.049124,10.50.224,192.168.100.62,https,success,no,curl/7.68.0,7224,,5,False,0,0.07076987517320044
2025-11-20T20:42:07.324557,10.50.120,192.168.100.51,ssh,success,no,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1876,,20,False,0,0.07697156383465908
2025-11-20T20:38:14.186821,192.168.100.58,10.50.204,rdp,success,no,curl/7.68.0,6319,,20,False,0,0.0692076683162367
